"","V1","V2","V3","V4","V5","V6","proportion"
"1",9.09,3876,3876,"S",4072,"Capsicum annuum",0.318435754189944
"2",4.08,1740,1740,"S",45834,"Solanum dulcamara",0.142951035162668
"3",1.09,466,466,"S",172797,"Solanum stenotomum",0.038284587578048
"4",0.31,134,134,"S",28526,"Solanum pennellii",0.0110088728228722
"5",0.27,116,116,"S",4081,"Solanum lycopersicum",0.00953006901084456
"6",0.25,108,108,"S",112863,"Lycium barbarum",0.00887282287216563
"7",0.22,92,92,"S",112874,"Lycium ferocissimum",0.00755833059480776
"8",0.22,92,92,"S",49451,"Nicotiana attenuata",0.00755833059480776
"9",0.07,30,30,"S",35885,"Ipomoea triloba",0.00246467302004601
"10",0.08,32,32,"S",226208,"Salvia miltiorrhiza",0.00262898455471574
"11",0.03,14,14,"S",49212,"Salvia hispanica",0.00115018074268814
"12",0.07,30,30,"S",180675,"Salvia splendens",0.00246467302004601
"13",0.02,10,10,"S",4182,"Sesamum indicum",0.000821557673348669
"14",0.04,16,16,"S",13443,"Coffea arabica",0.00131449227735787
"15",0.02,8,8,"S",49369,"Coffea eugenioides",0.000657246138678935
"16",2.68,1142,1142,"S",72917,"Erigeron canadensis",0.093821886296418
"17",0.55,234,234,"S",4232,"Helianthus annuus",0.0192244495563589
"18",0.32,138,138,"S",4236,"Lactuca sativa",0.0113374958922116
"19",0.11,46,46,"S",165200,"Actinidia eriantha",0.00377916529740388
"20",0.08,36,36,"S",55363,"Diospyros lotus",0.00295760762405521
"21",0.07,28,28,"S",253017,"Impatiens glandulifera",0.00230036148537627
"22",0.03,14,14,"S",182163,"Rhododendron vialii",0.00115018074268814
"23",0.25,108,108,"S",3888,"Pisum sativum",0.00887282287216563
"24",0.16,68,68,"S",3911,"Vicia villosa",0.00558659217877095
"25",0.1,44,44,"S",3880,"Medicago truncatula",0.00361485376273414
"26",0.07,30,30,"S",57577,"Trifolium pratense",0.00246467302004601
"27",0.04,16,16,"S",3827,"Cicer arietinum",0.00131449227735787
"28",0.07,28,28,"S",34305,"Lotus japonicus",0.00230036148537627
"29",0.03,12,12,"S",3847,"Glycine max",0.000985869208018403
"30",0.02,8,8,"S",3848,"Glycine soja",0.000657246138678935
"31",0.09,38,38,"S",3917,"Vigna unguiculata",0.00312191915872494
"32",0.02,8,8,"S",3914,"Vigna angularis",0.000657246138678935
"33",0.09,40,40,"S",3821,"Cajanus cajan",0.00328623069339468
"34",0.08,36,36,"S",3885,"Phaseolus vulgaris",0.00295760762405521
"35",0.1,42,42,"S",217475,"Arachis stenosperma",0.00345054222806441
"36",0.05,22,22,"S",3818,"Arachis hypogaea",0.00180742688136707
"37",0.04,18,18,"S",130453,"Arachis duranensis",0.0014788038120276
"38",0,2,2,"S",130454,"Arachis ipaensis",0.000164311534669734
