"","V1","V2","V3","V4","V5","V6","proportion"
"1",20.21,90074,90074,"S",45834,"Solanum dulcamara",0.276068580395618
"2",4.44,19800,19800,"S",172797,"Solanum stenotomum",0.060685190974457
"3",0.61,2722,2722,"S",28526,"Solanum pennellii",0.00834268130467031
"4",0.4,1788,1788,"S",4081,"Solanum lycopersicum",0.00548005663951158
"5",22.14,98674,98674,"S",4072,"Capsicum annuum",0.302426794657251
"6",0.37,1638,1638,"S",112863,"Lycium barbarum",0.00502032034425054
"7",0.28,1268,1268,"S",112874,"Lycium ferocissimum",0.00388630414927331
"8",0.21,932,932,"S",49451,"Nicotiana attenuata",0.00285649484788858
"9",0.03,118,118,"S",35885,"Ipomoea triloba",0.000361659218938683
"10",0.04,196,196,"S",180675,"Salvia splendens",0.000600722092474423
"11",0.03,136,136,"S",226208,"Salvia miltiorrhiza",0.000416827574370008
"12",0.01,60,60,"S",49212,"Salvia hispanica",0.000183894518104415
"13",0.04,174,174,"S",4182,"Sesamum indicum",0.000533294102502804
"14",0.02,82,82,"S",13443,"Coffea arabica",0.000251322508076034
"15",0.01,36,36,"S",49369,"Coffea eugenioides",0.000110336710862649
"16",14.25,63520,63520,"S",72917,"Erigeron canadensis",0.194682996499874
"17",2.81,12522,12522,"S",4232,"Helianthus annuus",0.0383787859283915
"18",0.67,2968,2968,"S",4236,"Lactuca sativa",0.00909664882889841
"19",0.09,384,384,"S",165200,"Actinidia eriantha",0.00117692491586826
"20",0.06,254,254,"S",182163,"Rhododendron vialii",0.000778486793308691
"21",0.05,212,212,"S",253017,"Impatiens glandulifera",0.000649760630635601
"22",0.04,178,178,"S",55363,"Diospyros lotus",0.000545553737043099
"23",2.07,9214,9214,"S",74649,"Rosa chinensis",0.028240068163568
"24",0.66,2954,2954,"S",74645,"Rosa rugosa",0.00905374010800738
"25",0.02,82,82,"S",57926,"Argentina anserina",0.000251322508076034
"26",0.04,160,160,"S",102107,"Prunus mume",0.000490385381611774
"27",0.02,70,70,"S",3755,"Prunus dulcis",0.000214543604455151
"28",0.01,58,58,"S",3760,"Prunus persica",0.000177764700834268
"29",0.03,126,126,"S",3752,"Malus sylvestris",0.000386178488019272
"30",0.02,102,102,"S",3750,"Malus domestica",0.000312620680777506
"31",0.14,618,618,"S",3486,"Humulus lupulus",0.00189411353647548
"32",0.04,196,196,"S",3483,"Cannabis sativa",0.000600722092474423
"33",0.07,300,300,"S",326968,"Ziziphus jujuba",0.000919472590522077
"34",0.11,502,502,"S",3888,"Pisum sativum",0.00153858413480694
"35",0.08,362,362,"S",3911,"Vicia villosa",0.00110949692589664
"36",0.03,148,148,"S",57577,"Trifolium pratense",0.000453606477990891
"37",0.03,132,132,"S",3880,"Medicago truncatula",0.000404567939829714
"38",0.04,162,162,"S",3827,"Cicer arietinum",0.000496515198881921
"39",0.03,138,138,"S",34305,"Lotus japonicus",0.000422957391640155
"40",0.04,160,160,"S",3914,"Vigna angularis",0.000490385381611774
"41",0.03,140,140,"S",3917,"Vigna unguiculata",0.000429087208910302
"42",0.01,48,48,"S",3848,"Glycine soja",0.000147115614483532
"43",0.01,40,40,"S",3847,"Glycine max",0.000122596345402944
"44",0.05,222,222,"S",3821,"Cajanus cajan",0.000680409716986337
"45",0.03,140,140,"S",3885,"Phaseolus vulgaris",0.000429087208910302
"46",0.04,196,196,"S",217475,"Arachis stenosperma",0.000600722092474423
"47",0.03,124,124,"S",3818,"Arachis hypogaea",0.000380048670749125
"48",0.02,76,76,"S",130453,"Arachis duranensis",0.000232933056265593
"49",0,14,14,"S",130454,"Arachis ipaensis",4.29087208910302e-05
"50",0.06,254,254,"S",3871,"Lupinus angustifolius",0.000778486793308691
"51",0.05,216,216,"S",51240,"Juglans regia",0.000662020265175895
"52",0.03,124,124,"S",2249226,"Juglans microcarpa x Juglans regia",0.000380048670749125
"53",0.04,190,190,"S",32201,"Carya illinoinensis",0.000582332640663982
"54",0.04,162,162,"S",97700,"Quercus lobata",0.000496515198881921
"55",0.03,112,112,"S",38942,"Quercus robur",0.000343269767128242
"56",0.04,170,170,"S",3517,"Alnus glutinosa",0.00052103446796251
"57",0.03,136,136,"S",13451,"Corylus avellana",0.000416827574370008
"58",0.08,362,362,"S",3981,"Hevea brasiliensis",0.00110949692589664
"59",0.05,214,214,"S",3983,"Manihot esculenta",0.000655890447905748
"60",0.03,148,148,"S",3988,"Ricinus communis",0.000453606477990891
"61",0.03,128,128,"S",3986,"Mercurialis annua",0.000392308305289419
"62",0.02,102,102,"S",3694,"Populus trichocarpa",0.000312620680777506
"63",0.02,90,90,"S",3691,"Populus nigra",0.000275841777156623
"64",0.08,340,340,"S",102211,"Benincasa hispida",0.00104206893592502
"65",0.03,120,120,"S",3656,"Cucumis melo",0.000367789036208831
"66",0.02,78,78,"S",3659,"Cucumis sativus",0.00023906287353574
"67",0.02,98,98,"S",458696,"Tripterygium wilfordii",0.000300361046237212
"68",0.43,1910,1910,"S",22663,"Punica granatum",0.00585397549299055
"69",0.03,154,154,"S",71139,"Eucalyptus grandis",0.000471995929801333
"70",0.02,90,90,"S",178133,"Rhodamnia argentea",0.000275841777156623
"71",0.08,352,352,"S",3635,"Gossypium hirsutum",0.0010788478395459
"72",0.05,240,240,"S",29729,"Gossypium arboreum",0.000735578072417661
"73",0.04,168,168,"S",29730,"Gossypium raimondii",0.000514904650692363
"74",0.02,90,90,"S",3641,"Theobroma cacao",0.000275841777156623
"75",0.03,112,112,"S",3708,"Brassica napus",0.000343269767128242
"76",0.01,26,26,"S",3711,"Brassica rapa",7.96876245119133e-05
"77",0.02,98,98,"S",3726,"Raphanus sativus",0.000300361046237212
"78",0.03,134,134,"S",90675,"Camelina sativa",0.000410697757099861
"79",0.01,40,40,"S",3702,"Arabidopsis thaliana",0.000122596345402944
"80",0.03,148,148,"S",2711,"Citrus sinensis",0.000453606477990891
"81",0.03,114,114,"S",29780,"Mangifera indica",0.000349399584398389
"82",0.02,100,100,"S",29760,"Vitis vinifera",0.000306490863507359
