"","column","average"
"45834","45834",0.18475933129699
"4072","4072",0.450257025787469
"72917","72917",0.149692985578981
"172797","172797",0.0806326459127598
"22663","22663",0.00567203672367311
"4686","4686",9.52125390978573e-12
"42345","42345",0.000203927115380006
"71139","71139",0.000169554383350327
"112863","112863",0.00455308382286655
"74649","74649",0.0384250746617939
"4232","4232",0.0121810143421813
"29729","29729",0.000690439420193803
"112874","112874",0.00454859982247818
"3641","3641",0.00046307015246487
"29730","29730",5.78479217901755e-05
"28526","28526",0.013607875232652
"4081","4081",0.00654511524220824
"158386","158386",3.1899991146016e-48
"4236","4236",0.00192034430017964
"3755","3755",0.000190726904890768
"3760","3760",0.000885328884774716
"3750","3750",0.000241946552054585
"3752","3752",0.000488035857279236
"102107","102107",0.00111052960266103
"59895","59895",0.00184219193143825
"74645","74645",0.0155994728188947
"51240","51240",1.28103048724143e-13
"397392","397392",0.000694604002619816
"38942","38942",0.00166669945113601
"97700","97700",0.000569193277792829
"226208","226208",5.68283541227872e-07
"458696","458696",9.20450407512977e-35
"49451","49451",0.00550770795110309
"101020","101020",1.95247613561139e-06
"3635","3635",0.000983935492372882
"57577","57577",1.0509767688109e-08
"3986","3986",4.68978704677182e-05
"3486","3486",0.00066284145946615
"165200","165200",0.000694605206636734
"96939","96939",0.000463070156425746
"178133","178133",0.000577286630678286
"3981","3981",4.73269687075777e-06
"3726","3726",0.000300128533217785
"3848","3848",0.000255908035627338
"86752","86752",0.000231535077564251
"2711","2711",0.000115338694721234
"3847","3847",0.000255908035626155
"49369","49369",2.60558345429344e-11
"3888","3888",0.000463070102538421
"51953","51953",0.000231535077564273
"60698","60698",0.000273602776759783
"326968","326968",0.00024620491568073
"3483","3483",0.000694605232692752
"54955","54955",0.00023504838377181
"3983","3983",5.80358294952522e-50
"3694","3694",8.4292157547003e-15
"3555","3555",0.000231535077564273
"3821","3821",2.85896041798716e-07
"102211","102211",0.000463070155128502
"90675","90675",2.75985339191462e-05
"4565","4565",0.000231678468646469
"29760","29760",0.000467156759450838
"4577","4577",0.000277842093077101
"210225","210225",0.00020392726509891
"217475","217475",0.000203935416982194
"130454","130454",5.68871338677689e-14
"55363","55363",0.000435470497332223
"94328","94328",1.051119031131e-08
"13443","13443",1.18293327541352e-15
"180675","180675",0.000227370639045591
"3708","3708",5.84162052668174e-05
"109376","109376",0.000232103361105639
"29780","29780",3.08675060801086e-38
"206008","206008",0.000231535077564251
"3988","3988",6.80134324639386e-34
"32201","32201",0.000231535077564251
"4522","4522",1.40185271946521e-42
"35885","35885",0.000580742819135933
"79200","79200",0.000231535077564251
"3656","3656",9.58534866335103e-12
"3711","3711",6.85934557206457e-05
"49212","49212",1.60092616506123e-16
"3914","3914",2.16661795989465e-17
"3818","3818",2.50339332261678e-55
"4182","4182",0.000119644356368864
"3562","3562",5.27217707427209e-20
"3885","3885",4.87999909010951e-99
"3664","3664",3.63641904065547e-08
"85692","85692",5.78479217255895e-05
"130453","130453",0.000231535077564251
"3911","3911",7.0577331580733e-87
"29722","29722",0.000231535077564229
"3469","3469",3.12243566635704e-81
"4615","4615",0.000108396256829079
"3917","3917",0.000231535077499643
"3880","3880",0.000231535077564251
