"","column","average"
"54955","54955",0.000268790386987219
"3750","3750",0.000314675290545775
"29780","29780",4.18187164692852e-05
"206008","206008",2.76035451254214e-05
"29695","29695",1.37410768881966e-06
"4072","4072",0.315113167911327
"72917","72917",0.202860465500394
"74649","74649",0.0290939255040864
"74645","74645",0.0127159017452899
"45834","45834",0.247419706391951
"4081","4081",0.00533072226868654
"112874","112874",0.00627615312050602
"35885","35885",0.000316154464584286
"172797","172797",0.101624565453416
"102107","102107",0.000784169771684137
"3760","3760",0.000550128724750134
"3755","3755",0.000619144008000143
"4232","4232",0.0245602722621009
"112863","112863",0.00493635795818708
"49451","49451",0.00372651233591194
"4686","4686",0.000461903877804646
"28526","28526",0.00959001186652464
"60698","60698",0.000240831326681711
"29760","29760",0.000457483949019007
"458696","458696",0.000182272739132465
"94328","94328",0.00050487526418641
"226208","226208",0.000139795232415066
"180675","180675",0.000206703737259501
"49369","49369",0.000118898818419379
"59895","59895",0.00240420434785598
"4236","4236",0.00324933945416645
"397392","397392",0.000299103837667773
"79200","79200",0.000818929992312646
"42345","42345",0.000253973623374998
"2711","2711",0.000378192126091552
"3483","3483",0.000290840345186072
"97700","97700",0.000247133255984257
"165200","165200",0.00114051588349234
"182163","182163",0.000725679918793144
"71139","71139",0.000280452556549125
"112509","112509",3.85554408697596e-05
"51953","51953",0.000113273595144715
"3635","3635",0.000203187657895365
"13451","13451",0.000171826452765826
"2249226","2249226",0.000105661000595328
"4558","4558",1.37410768881957e-05
"3562","3562",0.000131679833816127
"4615","4615",8.95494311068243e-05
"3486","3486",0.000483555812841318
"22663","22663",0.00691121618514127
"3871","3871",7.34673792689001e-05
"178133","178133",0.000190629582459382
"3752","3752",0.000417463261444875
"3983","3983",0.000263509023999076
"214687","214687",0.000193065815653878
"3986","3986",0.000140799360343921
"101020","101020",0.000668414026717529
"3641","3641",0.000115974133395496
"3821","3821",9.71435551092849e-05
"55577","55577",7.12827619882069e-05
"3981","3981",0.000197722085502358
"13443","13443",0.000233432234600289
"38942","38942",0.000162202442950113
"57577","57577",8.16625563281732e-05
"109376","109376",2.55127111222097e-05
"3708","3708",1.99131246411596e-05
"326968","326968",0.000245973492336762
"130453","130453",7.22952308778553e-05
"158386","158386",0.000411468875866525
"55363","55363",0.00031524801093471
"3517","3517",0.00022479877099536
"29729","29729",0.000226624330198674
"3555","3555",0.000182019335633997
"57926","57926",0.000151987475413463
"4182","4182",0.000167303899808988
"3848","3848",5.81141329125696e-05
"3914","3914",4.8421885582544e-05
"3847","3847",7.13826356231243e-05
"3916","3916",2.46401016179815e-05
"29730","29730",0.000157953893755675
"3659","3659",8.36826308521521e-06
"3694","3694",0.000114984142727175
"29722","29722",0.000123161765791577
"102211","102211",0.0001477078232832
"3988","3988",0.000155429853387024
"86752","86752",0.00017006587576775
"3911","3911",0.000126719728845967
"3469","3469",9.36995974575735e-05
"210225","210225",4.11980528378017e-05
"34305","34305",6.69437681103651e-05
"96939","96939",0.000220483971478459
"51240","51240",0.000127800384909709
"3827","3827",2.13005662352774e-05
"32201","32201",0.000218286813933253
"217475","217475",2.13481973006437e-05
"3818","3818",0.000106547245212304
"4565","4565",4.80622539874989e-05
"3917","3917",4.76339619202891e-05
"49212","49212",5.75904601436279e-05
"3880","3880",8.15706161522414e-05
"4572","4572",5.3964906892333e-06
"3726","3726",6.21497255163039e-05
"85692","85692",2.65780061538441e-05
"130454","130454",4.78579742836838e-05
"3691","3691",7.6161397629945e-05
"4522","4522",1.20144900971283e-05
"200361","200361",1.91170159305951e-05
"3885","3885",6.77282400830009e-05
"3711","3711",2.05310830534142e-05
"3369","3369",2.72327821627495e-05
"3664","3664",3.6550403781741e-05
"3656","3656",9.19158333854448e-05
"90675","90675",2.24673403675224e-05
"4533","4533",1.63575120644021e-05
"3888","3888",0.0001644034564201
"3702","3702",2.88528758836913e-05
"253017","253017",0.000108452126799559
"4538","4538",8.86027387151722e-20
"3055","3055",6.85355019163771e-06
"296587","296587",4.73881881779798e-18
"39947","39947",6.05155019956951e-06
"15368","15368",1.07147007783732e-07
"4555","4555",6.62532112871657e-06
"4577","4577",2.58312535440356e-05
"38727","38727",2.03688321871648e-05
"89674","89674",1.34982937426951e-05
"4556","4556",7.45599757320229e-06
